stop_id,total_trips,stop_name,stop_lat,stop_lon,nearest_poi_name,nearest_poi_type,nearest_poi_distance_m
6396,6,Pandavnagar Maan,18.5849,73.731796,"Hope Foundation's International Institute of Information Technolohy, Pune",college,499.3
6681,6,Koyte Vasti,18.630899,73.737396,Punawale Specialty Clinic,hospital,480.9
6387,6,Mandevi Temple,18.5753,73.709198,Unknown,hospital,490.8
7222,6,Tukaram Nagar Police Chowki,18.623301,73.818497,Padam.Dr.D.Y.Patil Hospital and Research Centre,hospital,302.4
1074,6,Mezza Nine,18.593864,73.735397,Hinjawadi Hospital,hospital,138.7
6381,6,Hinjewadi Maan Phase 3 Corner,18.5733396167879,73.6890075349194,Vedant Hospital,hospital,220.2
6385,6,Chandephata Maan,18.573960131788,73.7028293202338,Unknown,hospital,211.9
6386,6,Parkhi Vidyalaya,18.574699,73.706703,Unknown,hospital,222.2
3942,6,Chokhande Aali,18.3396,74.0327,Dr. Mainkar Hospital,hospital,471.3
7265,6,Aaple Ghar Vrudhashram,18.6582122795059,73.7242665200991,Shivsai Medical & General store,hospital,290.7
7690,6,Siemens,18.5902125376903,73.7329420553982,"Ruby Hall Clinic, Hinjawadi, Pune",hospital,269.4
3943,6,Girme Aali,18.341299,74.032898,Dr. Mainkar Hospital,hospital,390.4
2005,6,Link Road,18.5404,73.784897,Jeevan Deep Medicare Centre,hospital,339.4
2390,6,Loni Dhamni,18.8919819782055,74.0807864069939,Bhosale Hospital,hospital,92.5
2004,6,Link Road,18.5403950511233,73.7847724556923,Jeevan Deep Medicare Centre,hospital,335.9
6789,5,Rakesh Sweet Mart,18.634951309081,73.8437615955131,Medicover Hospital,hospital,253.9
6788,5,Vaishnavi Mata Mandir,18.635799,73.844704,Medicover Hospital,hospital,211.9
7091,5,Union Bank Indrayani Nagar,18.6343781857096,73.8464310581181,Medicover Hospital,hospital,34.9
8894,5,Thermax Company,18.6602,73.793404,"Chetana Hospital, Pune",hospital,393.5
8902,5,Sai Garden,18.6624194865912,73.7944229990215,"Chetana Hospital, Pune",hospital,418.8
8898,5,Akurdi Khandoba Maal,18.6511,73.786201,PCMC-Akurdi Hospital,hospital,463.3
265,5,Balbhavan,18.560785607231,73.8413238591012,Ordnance Factory Hospital,hospital,329.9
7747,5,Morwadi Chowk,18.6287008030885,73.8027150889527,Nanal Hospital,hospital,425.1
8910,5,Gurumayya Shalachinchwade Nagar,18.634501,73.774498,Om Shree Swami Samarth Hospital,hospital,494.3
