shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape_16,18.57301,73.83481,21
shape_16,18.56522,73.83117,22
shape_16,18.56522,73.83117,23
shape_16,18.56314,73.83046,24
shape_16,18.56314,73.83046,25
shape_16,18.56264,73.8303,26
shape_16,18.56264,73.8303,27
shape_16,18.56249,73.8325,28
shape_16,18.56249,73.8325,29
shape_16,18.5621,73.83648,30
shape_16,18.5621,73.83648,31
shape_16,18.56169,73.84093,32
shape_16,18.56169,73.84093,33
shape_16,18.56079,73.84132,34
shape_16,18.56079,73.84132,35
shape_16,18.55639,73.84046,36
shape_16,18.55639,73.84046,37
shape_16,18.55618,73.84237,38
shape_16,18.55618,73.84237,39
shape_16,18.5529,73.8433,40
shape_16,18.5529,73.8433,41
shape_16,18.5454,73.8434,42
shape_16,18.5454,73.8434,43
shape_16,18.5449,73.8422,44
shape_16,18.5449,73.8422,45
shape_16,18.5449,73.8394,46
shape_16,18.5449,73.8394,47
shape_16,18.54403,73.83884,48
shape_16,18.54403,73.83884,49
shape_16,18.54077,73.83631,50
shape_16,18.54077,73.83631,51
shape_16,18.53863,73.83414,52
shape_16,18.53863,73.83414,53
shape_16,18.5377,73.8353,54
shape_16,18.5377,73.8353,55
shape_16,18.53482,73.83894,56
shape_16,18.53482,73.83894,57
shape_16,18.53251,73.84234,58
shape_16,18.53251,73.84234,59
shape_16,18.53094,73.8472,60
shape_16,18.53094,73.8472,61
shape_16,18.5283,73.852,62
shape_16,18.5283,73.852,63
shape_16,18.52617,73.85294,64
shape_16,18.52617,73.85294,65
shape_16,18.52358,73.85446,66
shape_16,18.52358,73.85446,67
shape_16,18.5222,73.8523,68
shape_16,18.5222,73.8523,69
shape_16,18.52173,73.84724,70
shape_16,18.52173,73.84724,71
shape_16,18.51815,73.84431,72
shape_16,18.51815,73.84431,73
shape_16,18.51668,73.843,74
shape_16,18.51668,73.843,75
shape_16,18.51323,73.84096,76
shape_16,18.51323,73.84096,77
shape_16,18.5124,73.839,78
shape_16,18.5124,73.839,79
shape_16,18.51048,73.83504,80
shape_16,18.51048,73.83504,81
shape_16,18.50886,73.83193,82
shape_16,18.50886,73.83193,83
shape_16,18.5073,73.8289,84
shape_16,18.5073,73.8289,85
shape_16,18.5054,73.8242,86
shape_16,18.5054,73.8242,87
shape_16,18.5036,73.8203,88
shape_16,18.5036,73.8203,89
shape_16,18.5022,73.8166,90
shape_16,18.5022,73.8166,91
shape_16,18.4991,73.8138,92
shape_16,18.4991,73.8138,93
shape_16,18.49494,73.81329,94
shape_16,18.49494,73.81329,95
shape_16,18.49334,73.81492,96
shape_16,18.49334,73.81492,97
shape_16,18.4918,73.8153,98
shape_16,18.4918,73.8153,99
shape_16,18.48924,73.81472,100
shape_16,18.48924,73.81472,101
shape_16,18.4842,73.8103,102
shape_16,18.4842,73.8103,103
shape_16,18.4819,73.8077,104
shape_16,18.4819,73.8077,105
shape_16,18.4806,73.8061,106
shape_16,18.4806,73.8061,107
shape_16,18.48029,73.80114,108
shape_16,18.48029,73.80114,109
shape_16,18.4779,73.7982,110
shape_16,18.4779,73.7982,111
shape_16,18.47576,73.79575,112
shape_17,18.47577,73.79587,1
